gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR145W	ADH5	1000
YBR252W	DUT1	1000
YDL205C	HEM3	1000
YDR044W	HEM13	1000
YDR047W	HEM12	1000
YDR232W	HEM1	1000
YDR300C	PRO1	1000
YDR376W	ARH1	1000
YEL046C	GLY1	1000
YER014W	HEM14	1000
YER065C	ICL1	1000
YER170W	ADK2	1000
YFL030W	AGX1	1000
YGL040C	HEM2	1000
YLR348C	DIC1	1000
YMR319C	FET4	1000
YOL086C	ADH1	1000
YOR176W	HEM15	1000
YOR278W	HEM4	1000
YOR323C	PRO2	1000
YPL172C	COX10	1000
YPL252C	YAH1	1000
YMR058W	FET3	1000
YJR069C	HAM1	1000
YER141W	COX15	1000
YDR452W	PPN1	1000
YNL065W	AQR1	1000
YJL133W	MRS3	1000
YKR052C	MRS4	1000
YPL262W	FUM1	342.192973616357
YBR117C	TKL2	59.7789500503645
YPR074C	TKL1	49.8963069879756
YJR095W	SFC1	31.3254762349693
YJL121C	RPE1	10.3657015458268
YLR450W	HMG2	9.27079032129127
YML075C	HMG1	9.27079032129127
YML126C	ERG13	9.27079032129127
YPL028W	ERG10	9.27079032129127
YJL167W	ERG20	9.27079032129127
YMR208W	ERG12	9.27079032129127
YMR220W	ERG8	9.27079032129127
YNR043W	MVD1	9.27079032129127
YPL117C	IDI1	9.27079032129127
YHR002W	LEU5	9.27079032129126
YHR137W	ARO9	6.14346517053967
YHR163W	SOL3	5.4699784033524
YHR183W	GND1	5.4699784033524
YGR248W	SOL4	5.4699784033524
YGR256W	GND2	5.4699784033524
YNL241C	ZWF1	5.4699784033524
YBR221C	PDB1	3.57854375710931
YER178W	PDA1	3.57854375710931
YGR193C	PDX1	3.57854375710931
YNL071W	LAT1	3.57854375710931
YCR053W	THR4	2.95756078717109
YHR025W	THR1	2.95756078717109
YDR158W	HOM2	2.9575545845458
YJR139C	HOM6	2.9575545845458
YER052C	HOM3	2.9575545845458
YOR095C	RKI1	2.87513311874773
YGR087C	PDC6	2.84049795173435
YLR044C	PDC1	2.84049795173435
YLR134W	PDC5	2.84049795173435
YNR001C	CIT1	2.8212790235958
YPR001W	CIT3	2.8212790235958
YGL080W	MPC1	2.48945478627573
YGR243W	MPC3	2.48945478627573
YHR162W	MPC2	2.48945478627573
YBR218C	PYC2	2.41452651673583
YGL062W	PYC1	2.41452651673583
YAL038W	CDC19	2.37006006899528
YOR347C	PYK2	2.37006006899528
YGR254W	ENO1	2.20621742069886
YHR174W	ENO2	2.20621741432231
YKL152C	GPM1	2.20621741432231
YMR323W	ERR3	2.20621741432231
YOR393W	ERR1	2.20621741432231
YPL281C	ERR2	2.20621741432231
YOR283W	YOR283W	2.20621741432231
YNL036W	NCE103	1.66764758585122
YCR012W	PGK1	1.17090542128066
YGR192C	TDH3	1.17090542128066
YJL052W	TDH1	1.17090542128066
YJR009C	TDH2	1.17090542128066
YDR050C	TPI1	1.06805095477737
YGR240C	PFK1	1.06130883621665
YKL060C	FBA1	1.06130883621665
YMR205C	PFK2	1.06130883621665
YBR006W	UGA2	0.14830625
YBL039C	URA7	0.133931198022575
YJR103W	URA8	0.133931198022575
YDR503C	LPP1	0.107826371793335
YDR508C	GNP1	0.0762500000000004
YDL024C	DIA3	0.07625
YDL100C	GET3	0.0762499999999655
YER069W	ARG5,6	0.0753127384427565
YMR062C	ARG7	0.0753127384427565
YOL140W	ARG8	0.0753127384427565
YOR130C	ORT1	0.0753127384427565
YLR174W	IDP2	0.0611910836283507
YGR208W	SER2	0.0151805446248203
YER081W	SER3	0.0151805446248203
YIL074C	SER33	0.0151805446248203
YOR184W	SER1	0.0151805446248203
YLR058C	SHM2	0.00484542796542818
YGR204W	ADE3	0.00195198840118867
YAL044C	GCV3	0
YBR263W	SHM1	0
YCL040W	GLK1	0
YDR019C	GCV1	0
YDR148C	KGD2	0
YER070W	RNR1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YGR180C	RNR4	0
YIL066C	RNR3	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YKL029C	MAE1	0
YKL085W	MDH1	0
YLR438W	CAR2	0
YMR189W	GCV2	0
YMR241W	YHM2	0
YMR246W	FAA4	0
YOR317W	FAA1	0
YOR388C	FDH1	0
YLR446W	YLR446W	0
