enzNames	minUsages	maxUsages	ranges	pUsages
P33317	0	1.08527432128245e-11	1.08527432128245e-11	0
P28789	0.000124281727936053	0.000124281725763466	-2.17258744089795e-12	0.000124281727936053
P11353	0.000456926342020319	0.000456926334032722	-7.98759718307132e-12	0.000456926342020319
P32347	0.000349378073268168	0.000349378067160638	-6.10752979223958e-12	0.000349378073268168
P09950	9.44389009957785e-05	9.44389010786748e-05	8.28962549645484e-14	9.44389009957785e-05
P48360	0	7.84942451164243e-12	7.84942451164243e-12	0
P40012	1.77345585134202e-06	1.77345585687822e-06	5.5361969671005e-15	1.77345585134202e-06
P05373	2.51080186030113e-05	2.51080186250499e-05	2.20386453227486e-14	2.51080186030113e-05
P40988	6.34838194099416e-10	6.51665330947487e-10	1.68271368480712e-11	6.51665328913189e-10
P16622	2.58923995022567e-05	2.58923995249838e-05	2.27271340310677e-14	2.58923995022567e-05
P06174	8.72774055128285e-09	8.72774057852806e-09	2.72452167582123e-17	8.72774055128285e-09
P21592	2.35384178944678e-06	2.35384179679476e-06	7.34797990072848e-15	2.35384178944678e-06
Q12184	0	7.84941735632516e-12	7.84941735632516e-12	0
P38993	0	1.68271018722854e-11	1.68271018722854e-11	0
P47119	7.02937075422138e-10	7.10456575756794e-10	7.51950033465632e-12	7.03169118551897e-10
P40086	3.03425916624883e-07	3.0343376699756e-07	7.8503726769152e-12	3.03433766050335e-07
P33315	0	1.31567842137354e-10	1.31567842137354e-10	0
P23254	2.76187005855735e-06	2.76201553766954e-06	1.45479112195148e-10	2.76200162533972e-06
P08524	2.05831052203586e-05	2.05831048729019e-05	-3.47456631744287e-13	2.05831045327683e-05
P12684	0	7.33884717167478e-07	7.33884717167478e-07	7.33884711345285e-07
P12683	0	7.34305286237711e-07	7.34305286237711e-07	0
P54839	8.18344096633749e-05	8.18344092385673e-05	-4.24807636441836e-13	8.18344069296508e-05
P07277	1.55076286714628e-06	1.55076289277259e-06	2.56263111808429e-14	1.55076286714628e-06
P24521	9.98862933577241e-06	9.98862957872973e-06	2.42957326620444e-13	9.9886294136695e-06
P32377	6.93087318590926e-06	6.93087328605596e-06	1.00146695034269e-13	6.93087323996022e-06
P41338	3.77347377677941e-08	3.77385989976012e-08	3.8612298071225e-12	3.77347407218565e-08
P15496	3.78610774423483e-10	3.83438159823497e-10	4.82738540001421e-12	3.78610774423483e-10
	0	0	0	0
