gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR145W	ADH5	1000
YBR252W	DUT1	1000
YDL205C	HEM3	1000
YDR044W	HEM13	1000
YDR047W	HEM12	1000
YDR232W	HEM1	1000
YDR300C	PRO1	1000
YDR376W	ARH1	1000
YEL046C	GLY1	1000
YER014W	HEM14	1000
YER065C	ICL1	1000
YER170W	ADK2	1000
YFL030W	AGX1	1000
YGL040C	HEM2	1000
YKL120W	OAC1	1000
YMR319C	FET4	1000
YOL086C	ADH1	1000
YOR176W	HEM15	1000
YOR278W	HEM4	1000
YOR323C	PRO2	1000
YPL172C	COX10	1000
YPL252C	YAH1	1000
YMR058W	FET3	1000
YJR069C	HAM1	1000
YER141W	COX15	1000
YPL262W	FUM1	341.063750365709
YBR117C	TKL2	47.6886772773039
YPR074C	TKL1	40.255488949177
YJR095W	SFC1	22.4781534117626
YJL121C	RPE1	10.5227356366692
YJL167W	ERG20	9.42659327303901
YLR450W	HMG2	9.42659327303901
YML075C	HMG1	9.42659327303901
YML126C	ERG13	9.42659327303901
YMR208W	ERG12	9.42659327303901
YMR220W	ERG8	9.42659327303901
YNR043W	MVD1	9.42659327303901
YPL028W	ERG10	9.42659327303901
YPL117C	IDI1	9.42659327303901
YHR002W	LEU5	9.42659327303901
YGR248W	SOL4	5.63523243901463
YGR256W	GND2	5.63523243901463
YNL241C	ZWF1	5.63523243901463
YHR163W	SOL3	5.63523243901463
YHR183W	GND1	5.63523243901463
YDR158W	HOM2	4.9428816163424
YJR139C	HOM6	4.9428816163424
YCR053W	THR4	4.9428816163424
YER052C	HOM3	4.9428816163424
YHR025W	THR1	4.9428816163424
YPR021C	AGC1	4.25327921555278
YHR137W	ARO9	4.23150137347947
YOL126C	MDH2	3.8925200737902
YGR087C	PDC6	3.84771000880925
YLR044C	PDC1	3.84771000880925
YLR134W	PDC5	3.84771000880925
YBR221C	PDB1	3.14193635916252
YER178W	PDA1	3.14193635916252
YGR193C	PDX1	3.14193635916252
YNL071W	LAT1	3.14193635916252
YOR095C	RKI1	2.93951105931675
YBR218C	PYC2	2.76307462800429
YGL062W	PYC1	2.76307462800429
YAL038W	CDC19	2.46554518423927
YOR347C	PYK2	2.46554518423927
YGR254W	ENO1	2.28872360763234
YHR174W	ENO2	2.28872360763234
YKL152C	GPM1	2.28872360763234
YMR323W	ERR3	2.28872360763234
YOR393W	ERR1	2.28872360763234
YPL281C	ERR2	2.28872360763234
YOR283W	YOR283W	2.28872360763234
YGL080W	MPC1	2.14382242728008
YGR243W	MPC3	2.14382242728008
YHR162W	MPC2	2.14382242728008
YNR001C	CIT1	1.9206524367501
YPR001W	CIT3	1.9206524367501
YNL036W	NCE103	1.86065533058253
YKL085W	MDH1	1.73954679612736
YLR027C	AAT2	1.72043516507219
YCR012W	PGK1	1.20932058686407
YGR192C	TDH3	1.20932058686407
YJL052W	TDH1	1.20932058686407
YJR009C	TDH2	1.20932058686407
YDR050C	TPI1	1.10312122496623
YGR240C	PFK1	1.09518873208575
YKL060C	FBA1	1.09518873208575
YMR205C	PFK2	1.09518873208575
YDR516C	EMI2	1.00066848186604
YJR103W	URA8	0.0241076156440635
YBL039C	URA7	0.0241076156440635
YDR503C	LPP1	0.0194168415876769
YER069W	ARG5,6	0.0135562929196962
YMR062C	ARG7	0.0135562929196962
YOL140W	ARG8	0.0135562929196962
YOR130C	ORT1	0.0135562929196962
YLR174W	IDP2	0.0107979581065095
YER081W	SER3	0.00267453780970009
YGR208W	SER2	0.00267453780970009
YIL074C	SER33	0.00267453780970009
YOR184W	SER1	0.00267453780970009
YLR058C	SHM2	0.000850271390834548
YGR204W	ADE3	0.000336329779538454
YAL044C	GCV3	0
YBR263W	SHM1	0
YCL040W	GLK1	0
YDR019C	GCV1	0
YDR148C	KGD2	0
YER070W	RNR1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YGR180C	RNR4	0
YIL066C	RNR3	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YKL029C	MAE1	0
YLR438W	CAR2	0
YMR189W	GCV2	0
YMR246W	FAA4	0
YOR317W	FAA1	0
YOR388C	FDH1	0
YLR446W	YLR446W	0
