genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange
YBL015W	P32316	ACH1	58.71137	2	1000	2	1.59824360031902e-05	1.59880703803172e-05	1.59847692413427e-05	1.00485837417831
YBR145W	P38113	ADH5	37.64764	1	1000	2	0	7.43700047547524e-09	0	1.000001
YBR252W	P33317	DUT1	15.30716	1	1000	2	0	4.94513863051535e-09	0	1.000001
YDL205C	P28789	HEM3	36.67427	2	1000	2	0.000232098966363345	0.000232099430535243	0.000232098966363345	1.04585468858706
YDR044W	P11353	HEM13	37.71116	2	1000	2	0.000853320383038669	0.000853322089583719	0.000853320383038669	1.19699751865649
YDR047W	P32347	HEM12	41.34866	2	1000	2	0.000652471534007658	0.000652472838877539	0.000652471534007658	1.16133548867526
YDR232W	P09950	HEM1	59.36171	2	1000	2	0.000176366805238568	0.000176367157964446	0.000176366805238568	1.05699983585038
YDR300C	P32264	PRO1	47.16164	2	1000	2	1.08720232711038e-07	1.09546947667541e-07	1.09025675289214e-07	1.00002748407319
YDR376W	P48360	ARH1	56.23654	1	1000	2	0	9.46174484774081e-09	0	1.000001
YEL046C	P37303	GLY1	42.81463	2	1000	2	3.72164715441361e-07	4.21875331066228e-07	3.80999394384208e-07	1.0001007407683
YER014W	P40012	HEM14	59.70226	2	1000	2	3.31196932021496e-06	3.31197594341009e-06	3.31196932021496e-06	1.00102050236552
YER065C	P28240	ICL1	62.40816	2	1000	2	7.40920165340949e-06	7.57131776096211e-06	7.5425802275015e-06	1.00245873418994
YER170W	P26364	ADK2	25.19373	2	1000	2	9.91754631610659e-07	9.99604809725069e-07	9.91898777679515e-07	1.00012973111899
YFL030W	P43567	AGX1	41.90679	2	1000	2	7.46575602156674e-07	7.62872965375747e-07	7.59992734955055e-07	1.00016498781423
YGL040C	P05373	HEM2	37.73995	2	1000	2	4.68897983796059e-05	4.688989114695e-05	4.68897983796059e-05	1.00919965005749
YMR319C	P40988	FET4	62.7913	2	1000	2	0	1.21701789425268e-09	1.21701546057048e-09	1.00000139359807
YOL086C	P00330	ADH1	36.84874	2	1000	2	6.1520815832833e-08	7.89734203146399e-08	7.73434663854903e-08	1.00001568688551
YOR176W	P16622	HEM15	44.5956	2	1000	2	4.83546476295591e-05	4.83547432932415e-05	4.83546476295591e-05	1.01123279780163
YOR278W	P06174	HEM4	30.91124	2	1000	2	1.62992548806731e-08	1.62992874328066e-08	1.62992548806731e-08	1.00000359509389
YOR323C	P54885	PRO2	49.73991	2	1000	2	1.40926021523054e-08	1.42014731212549e-08	1.41331587778013e-08	1.00000462082304
YPL172C	P21592	COX10	52.14718	2	1000	2	4.39585331960098e-06	4.39586210773867e-06	4.39585331960098e-06	1.00118310374302
YPL252C	Q12184	YAH1	18.93229	1	1000	2	0	9.44938879704482e-09	0	1.000001
YMR058W	P38993	FET3	72.35915	1	1000	2	0	1.21701774817596e-09	0	1.000001
YJR069C	P47119	HAM1	22.09268	1	1000	2	0	8.86925720234531e-09	8.1582570468e-11	1.000001
YER141W	P40086	COX15	54.65792	2	1000	2	5.57207698079784e-07	5.66670611617176e-07	5.66669490596854e-07	1.00016055866524
YDR452W	Q04119	PPN1	78.34335	1	1000	2	0	2.46671479596298e-09	5.38030674133688e-13	1.000001
YPL262W	P08417	FUM1	53.15125	2	342.192973616357	2	2.06063083878847e-07	2.14515040966989e-07	2.08385022858184e-07	1.00005873075088
YBR117C	P33315	TKL2	75.02862	1	59.7789500503645	2	0	1.58652823184509e-07	0	1.000001
YPR074C	P23254	TKL1	73.80488	2	49.8963069879756	2	1.16276685425893e-06	1.32968604036e-06	1.32118408159695e-06	1.00050615604298
YJL121C	P46969	RPE1	25.96689	2	10.3657015458268	2	7.95776901366241e-07	8.10804522641025e-07	8.03185995617322e-07	1.00010845379722
YLR450W	P12684	HMG2	115.69085	2	9.27079032129127	2	0	9.67137140398201e-07	9.67111598118588e-07	1.00057761762846
YML075C	P12683	HMG1	115.62448	1	9.27079032129127	2	0	9.67690302955417e-07	0	1.000001
YML126C	P54839	ERG13	55.01283	2	9.27079032129127	2	0.000107841194731723	0.000107844056470515	0.000107841194731723	1.03149421050331
YPL028W	P41338	ERG10	41.72825	2	9.27079032129127	2	4.97236798950163e-08	5.43556379777668e-08	4.97267552245483e-08	1.00001168786931
YJL167W	P08524	ERG20	40.48289	2	9.27079032129127	2	2.71243681891636e-05	2.71247811532491e-05	2.71243681891636e-05	1.00568814962273
YMR208W	P07277	ERG12	48.45901	2	9.27079032129127	2	2.04359176797619e-06	2.04362192833276e-06	2.04359176797619e-06	1.00051133148507
YMR220W	P24521	ERG8	50.45437	2	9.27079032129127	2	1.31629930504483e-05	1.31631921754653e-05	1.31629930504483e-05	1.00343317179387
YNR043W	P32377	MVD1	44.11544	2	9.27079032129127	2	9.13348894156433e-06	9.13362668334593e-06	9.13348894156433e-06	1.00208056530318
YPL117C	P15496	IDI1	33.35113	1	9.27079032129127	2	4.9893241466552e-10	6.31779339808872e-09	4.9893241466552e-10	1.000001
YHR137W	P38840	ARO9	58.52706	2	6.14346517053967	2	8.43839026760945e-08	8.91264357511901e-08	8.58504121042099e-08	1.00002686838788
YHR163W	P38858	SOL3	27.78417	2	5.4699784033524	2	1.36952872844812e-05	1.40735916590636e-05	1.39855620536233e-05	1.00202953129341
YHR183W	P38720	GND1	53.54274	2	5.4699784033524	2	3.33153927830625e-06	3.86636187010466e-06	3.84217797176959e-06	1.00107195622763
YGR248W	P53315	SOL4	28.44737	1	5.4699784033524	2	0	2.92737424222813e-07	0	1.000001
YGR256W	P53319	GND2	53.92235	1	5.4699784033524	2	0	5.11307505072288e-07	0	1.000001
YNL241C	P11412	ZWF1	57.5209	2	5.4699784033524	2	2.19014956579668e-07	2.2240208817346e-07	2.21010950200844e-07	1.00006649490503
YBR221C	P32473	PDB1	40.0532	2	3.57854375710931	2	3.49460393129241e-06	3.52518412843075e-06	3.51974934916167e-06	1.00072746292205
YER178W	P16387	PDA1	46.34261	2	3.57854375710931	2	3.49460393129241e-06	3.52518412843075e-06	3.51974934916167e-06	1.00084162276614
YGR193C	P16451	PDX1	45.36125	2	3.57854375710931	2	3.49460393129241e-06	3.52518412843075e-06	3.51974934916167e-06	1.00082380951156
YNL071W	P12695	LAT1	51.81762	2	3.57854375710931	2	3.49460393129241e-06	3.52518412843075e-06	3.51974934916167e-06	1.00094101938045
YCR053W	P16120	THR4	57.47349	2	2.95756078717109	2	4.82625447175436e-09	5.25904483192313e-09	4.82752173648034e-09	1.00000243264091
YHR025W	P17423	THR1	38.71215	2	2.95756078717109	2	4.73454808641721e-07	5.25832660892951e-07	4.82752173648034e-07	1.00011202611525
YDR158W	P13663	HOM2	39.54334	2	2.9575545845458	2	1.01770073337553e-07	1.13032087598773e-07	1.03771583056363e-07	1.000022189398
YJR139C	P31116	HOM6	38.50163	2	2.9575545845458	2	8.55491571297461e-07	9.50262164184472e-07	8.72291093105147e-07	1.0002041824737
YER052C	P10869	HOM3	58.10913	2	2.9575545845458	2	8.5106252477311e-08	9.45112179101966e-08	8.67682174144666e-08	1.00002762064746
YOR095C	Q12189	RKI1	28.25777	2	2.87513311874773	2	5.02706983372868e-06	5.10149782102954e-06	5.07094436870357e-06	1.00074492419562
YGR087C	P26263	PDC6	61.57964	1	2.84049795173435	2	0	5.46696799930202e-09	0	1.000001
