genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage
YBL015W	P32316	ACH1	58.71137	2	1000	2	1.5983626251494e-05	1.59864328939128e-05	1.59847851449074e-05
YBR145W	P38113	ADH5	37.64764	1	1000	2	0	3.71214608054081e-09	0
YBR252W	P33317	DUT1	15.30716	1	1000	2	0	4.13082088733502e-09	0
YDL205C	P28789	HEM3	36.67427	2	1000	2	0.00023209919728322	0.000232099197285138	0.00023209919728322
YDR044W	P11353	HEM13	37.71116	2	1000	2	0.000853321232024079	0.000853321232031082	0.000853321232024079
YDR047W	P32347	HEM12	41.34866	2	1000	2	0.000652472183164556	0.000652472183169804	0.000652472183164556
YDR232W	P09950	HEM1	59.36171	2	1000	2	0.000176366980709407	0.000176366980710865	0.000176366980709407
YDR300C	P32264	PRO1	47.16164	2	1000	2	1.08880436892978e-07	1.09283454949772e-07	1.09025675289214e-07
YDR376W	P48360	ARH1	56.23654	1	1000	2	0	4.73280586452021e-09	0
YEL046C	P37303	GLY1	42.81463	2	1000	2	3.77170169374908e-07	4.01976472561286e-07	3.81075111756835e-07
YER014W	P40012	HEM14	59.70226	2	1000	2	3.31197261535906e-06	3.31197261536569e-06	3.31197261535906e-06
YER065C	P28240	ICL1	62.40816	2	1000	2	7.47403130075739e-06	7.55507627196452e-06	7.5423423150429e-06
YER170W	P26364	ADK2	25.19373	2	1000	2	9.91826961844003e-07	9.95752874940781e-07	9.91899764539323e-07
YFL030W	P43567	AGX1	41.90679	2	1000	2	7.53108092312291e-07	7.61235150165942e-07	7.59968762821563e-07
YGL040C	P05373	HEM2	37.73995	2	1000	2	4.68898450311983e-05	4.6889845031292e-05	4.68898450311983e-05
YLR348C		DIC1	NaN	1	1000	2	0	0	0
YMR319C	P40988	FET4	62.7913	2	1000	2	0	1.2170166713903e-09	1.21701667138786e-09
YOL086C	P00330	ADH1	36.84874	2	1000	2	6.94778428243528e-08	7.81727212803293e-08	7.73454254608194e-08
YOR176W	P16622	HEM15	44.5956	2	1000	2	4.83546957385591e-05	4.83546957386558e-05	4.83546957385591e-05
