genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority	order
YBL015W	P32316	ACH1	58.71137	OE	1000	2	1.59824360031902e-05	1.59880703803172e-05	1.59847692413427e-05	1.00485837417831	1	7	0	1	0
YDL205C	P28789	HEM3	36.67427	OE	1000	2	0.000232098966363345	0.000232099430535243	0.000232098966363345	1.04585468858706	1	4	0	1	0
YDR044W	P11353	HEM13	37.71116	OE	1000	2	0.000853320383038669	0.000853322089583719	0.000853320383038669	1.19699751865649	1	6	0	1	0
YDR047W	P32347	HEM12	41.34866	OE	1000	2	0.000652471534007658	0.000652472838877539	0.000652471534007658	1.16133548867526	1	4	0	1	0
YDR232W	P09950	HEM1	59.36171	OE	1000	2	0.000176366805238568	0.000176367157964446	0.000176366805238568	1.05699983585038	1	6	0	1	0
YDR300C	P32264	PRO1	47.16164	OE	1000	2	1.08720232711038e-07	1.09546947667541e-07	1.09025675289214e-07	1.00002748407319	1	4	0	1	0
YEL046C	P37303	GLY1	42.81463	OE	1000	2	3.72164715441361e-07	4.21875331066228e-07	3.80999394384208e-07	1.0001007407683	1	4	0	1	0
YER014W	P40012	HEM14	59.70226	OE	1000	2	3.31196932021496e-06	3.31197594341009e-06	3.31196932021496e-06	1.00102050236552	1	4	0	1	0
YER065C	P28240	ICL1	62.40816	OE	1000	2	7.40920165340949e-06	7.57131776096211e-06	7.5425802275015e-06	1.00245873418994	1	3	0	1	0
YER170W	P26364	ADK2	25.19373	OE	1000	2	9.91754631610659e-07	9.99604809725069e-07	9.91898777679515e-07	1.00012973111899	1	5	0	1	0
YFL030W	P43567	AGX1	41.90679	OE	1000	2	7.46575602156674e-07	7.62872965375747e-07	7.59992734955055e-07	1.00016498781423	1	4	0	1	0
YGL040C	P05373	HEM2	37.73995	OE	1000	2	4.68897983796059e-05	4.688989114695e-05	4.68897983796059e-05	1.00919965005749	1	4	0	1	0
YMR319C	P40988	FET4	62.7913	OE	1000	2	0	1.21701789425268e-09	1.21701546057048e-09	1.00000139359807	0	3	3	1	0
YOL086C	P00330	ADH1	36.84874	OE	1000	2	6.1520815832833e-08	7.89734203146399e-08	7.73434663854903e-08	1.00001568688551	0	21	1	1	0
YOR176W	P16622	HEM15	44.5956	OE	1000	2	4.83546476295591e-05	4.83547432932415e-05	4.83546476295591e-05	1.01123279780163	1	4	0	1	0
YOR278W	P06174	HEM4	30.91124	OE	1000	2	1.62992548806731e-08	1.62992874328066e-08	1.62992548806731e-08	1.00000359509389	1	3	0	1	0
YOR323C	P54885	PRO2	49.73991	OE	1000	2	1.40926021523054e-08	1.42014731212549e-08	1.41331587778013e-08	1.00000462082304	1	6	0	1	0
YPL172C	P21592	COX10	52.14718	OE	1000	2	4.39585331960098e-06	4.39586210773867e-06	4.39585331960098e-06	1.00118310374302	1	5	0	1	0
YER141W	P40086	COX15	54.65792	OE	1000	2	5.57207698079784e-07	5.66670611617176e-07	5.66669490596854e-07	1.00016055866524	1	7	0	1	0
YPL262W	P08417	FUM1	53.15125	OE	342.192973616357	2	2.06063083878847e-07	2.14515040966989e-07	2.08385022858184e-07	1.00005873075088	1	6	0	1	0
YPR074C	P23254	TKL1	73.80488	OE	49.8963069879756	2	1.16276685425893e-06	1.32968604036e-06	1.32118408159695e-06	1.00050615604298	0	10	4	1	0
YJL121C	P46969	RPE1	25.96689	OE	10.3657015458268	2	7.95776901366241e-07	8.10804522641025e-07	8.03185995617322e-07	1.00010845379722	1	2	0	1	0
YLR450W	P12684	HMG2	115.69085	OE	9.27079032129127	2	0	9.67137140398201e-07	9.67111598118588e-07	1.00057761762846	0	7	5	1	0
YML126C	P54839	ERG13	55.01283	OE	9.27079032129127	2	0.000107841194731723	0.000107844056470515	0.000107841194731723	1.03149421050331	1	12	0	1	0
YPL028W	P41338	ERG10	41.72825	OE	9.27079032129127	2	4.97236798950163e-08	5.43556379777668e-08	4.97267552245483e-08	1.00001168786931	1	6	0	1	0
YJL167W	P08524	ERG20	40.48289	OE	9.27079032129127	2	2.71243681891636e-05	2.71247811532491e-05	2.71243681891636e-05	1.00568814962273	1	5	0	1	0
YMR208W	P07277	ERG12	48.45901	OE	9.27079032129127	2	2.04359176797619e-06	2.04362192833276e-06	2.04359176797619e-06	1.00051133148507	1	11	0	1	0
YMR220W	P24521	ERG8	50.45437	OE	9.27079032129127	2	1.31629930504483e-05	1.31631921754653e-05	1.31629930504483e-05	1.00343317179387	1	4	0	1	0
YNR043W	P32377	MVD1	44.11544	OE	9.27079032129127	2	9.13348894156433e-06	9.13362668334593e-06	9.13348894156433e-06	1.00208056530318	1	6	0	1	0
YPL117C	P15496	IDI1	33.35113	OE	9.27079032129127	2	4.9893241466552e-10	6.31779339808872e-09	4.9893241466552e-10	1.000001	1	2	0	1	0
YHR137W	P38840	ARO9	58.52706	OE	6.14346517053967	2	8.43839026760945e-08	8.91264357511901e-08	8.58504121042099e-08	1.00002686838788	1	13	0	1	0
YHR163W	P38858	SOL3	27.78417	OE	5.4699784033524	2	1.36952872844812e-05	1.40735916590636e-05	1.39855620536233e-05	1.00202953129341	0	5	6	1	0
YHR183W	P38720	GND1	53.54274	OE	5.4699784033524	2	3.33153927830625e-06	3.86636187010466e-06	3.84217797176959e-06	1.00107195622763	0	6	7	1	0
YNL241C	P11412	ZWF1	57.5209	OE	5.4699784033524	2	2.19014956579668e-07	2.2240208817346e-07	2.21010950200844e-07	1.00006649490503	1	5	0	1	0
YBR221C	P32473	PDB1	40.0532	OE	3.57854375710931	2	3.49460393129241e-06	3.52518412843075e-06	3.51974934916167e-06	1.00072746292205	0	6	8	1	0
YCR053W	P16120	THR4	57.47349	OE	2.95756078717109	2	4.82625447175436e-09	5.25904483192313e-09	4.82752173648034e-09	1.00000243264091	1	6	0	1	0
YHR025W	P17423	THR1	38.71215	OE	2.95756078717109	2	4.73454808641721e-07	5.25832660892951e-07	4.82752173648034e-07	1.00011202611525	1	5	0	1	0
YDR158W	P13663	HOM2	39.54334	OE	2.9575545845458	2	1.01770073337553e-07	1.13032087598773e-07	1.03771583056363e-07	1.000022189398	1	6	0	1	0
YJR139C	P31116	HOM6	38.50163	OE	2.9575545845458	2	8.55491571297461e-07	9.50262164184472e-07	8.72291093105147e-07	1.0002041824737	1	7	0	1	0
YER052C	P10869	HOM3	58.10913	OE	2.9575545845458	2	8.5106252477311e-08	9.45112179101966e-08	8.67682174144666e-08	1.00002762064746	1	4	0	1	0
YOR095C	Q12189	RKI1	28.25777	OE	2.87513311874773	2	5.02706983372868e-06	5.10149782102954e-06	5.07094436870357e-06	1.00074492419562	1	2	0	1	0
YLR044C	P06169	PDC1	61.49468	OE	2.84049795173435	2	4.16562532806357e-07	4.21853248784266e-07	4.1896759601016e-07	1.00013356870187	0	17	9	1	0
YNR001C	P00890	CIT1	53.35945	OE	2.8212790235958	2	3.29052354907174e-07	7.62277421264937e-07	7.59588820000307e-07	1.00020970572294	1	7	0	1	0
YGL062W	P11154	PYC1	130.09827	OE	2.41452651673583	2	0	2.48293262911386e-06	2.45351939758926e-06	1.001743778168	0	8	10	1	0
YAL038W	P00549	CDC19	54.54404	OE	2.37006006899528	2	1.71550345520448e-06	2.0156628657921e-06	2.01385936105117e-06	1.00056673860812	0	6	11	1	0
YGR254W	P00924	ENO1	46.81564	OE	2.20621742069886	2	1.65733131977538e-06	2.05335641359781e-06	2.04924686508126e-06	1.00049511419859	0	5	12	1	0
YOR283W	Q12040	YOR283W	26.17622	OE	2.20621741432231	2	5.51699532411091e-07	5.73227714524591e-07	5.65823778575218e-07	1.0000772859791	1	4	0	1	0
YCR012W	P00560	PGK1	44.73787	OE	1.17090542128066	2	8.87333176467123e-07	8.91752217267273e-07	8.87429714745779e-07	1.00020548541976	1	4	0	1	0
YJL052W	P00360	TDH1	35.74956	OE	1.17090542128066	2	1.6413327794697e-05	1.64379660828909e-05	1.64234422781093e-05	1.0030267205272	0	8	13	1	0
YDR050C	P00942	TPI1	26.79508	OE	1.06805095477737	2	2.48768760456311e-08	3.21240664701416e-08	2.48824451074816e-08	1.00000443398907	1	2	0	1	0
YMR205C	P16862	PFK2	104.61673	OE	1.06130883621665	2	5.9848775479242e-07	6.06020457619252e-07	6.04846491068071e-07	1.00032689162227	1	9	0	1	0
YLR446W	Q06204	YLR446W	48.96875	deletion	0	0	0	3.94437498556849e-09	0	1.0000019948202	1	20	0	1	0
YAL044C	P39726	GCV3	18.79276	deletion	0	0	0	5.5152732076445e-12	0	1.00000100053386	0	18	14	2	0
YDR019C	P48015	GCV1	44.46849	deletion	0	0	0	5.5152732076445e-12	0	1.00000100126324	0	18	14	2	0
YDR148C	P19262	KGD2	50.43011	deletion	0	0	0	1.21329923498383e-09	0	1.0000013151558	0	11	15	2	0
YER070W	P21524	RNR1	99.56021	deletion	0	0	0	1.96751538491285e-09	0	1.00000200895409	0	24	16	2	0
