genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YBL015W	P32316	ACH1	58.71137	2	1000	2	1.5983626251494e-05	1.59864328939128e-05	1.59847851449074e-05	1.00485837418844	1	7	0	1
YDL205C	P28789	HEM3	36.67427	2	1000	2	0.00023209919728322	0.000232099197285138	0.00023209919728322	1.04585468859759	1	4	0	1
YDR044W	P11353	HEM13	37.71116	2	1000	2	0.000853321232024079	0.000853321232031082	0.000853321232024079	1.1969971255649	1	6	0	1
YDR047W	P32347	HEM12	41.34866	2	1000	2	0.000652472183164556	0.000652472183169804	0.000652472183164556	1.16133547907328	1	4	0	1
YDR232W	P09950	HEM1	59.36171	2	1000	2	0.000176366980709407	0.000176366980710865	0.000176366980709407	1.05699983586102	1	6	0	1
YDR300C	P32264	PRO1	47.16164	2	1000	2	1.08880436892978e-07	1.09283454949772e-07	1.09025675289214e-07	1.0000274840834	1	4	0	1
YEL046C	P37303	GLY1	42.81463	2	1000	2	3.77170169374908e-07	4.01976472561286e-07	3.81075111756835e-07	1.0001007404645	1	4	0	1
YER014W	P40012	HEM14	59.70226	2	1000	2	3.31197261535906e-06	3.31197261536569e-06	3.31197261535906e-06	1.0010205023756	1	4	0	1
YER065C	P28240	ICL1	62.40816	2	1000	2	7.47403130075739e-06	7.55507627196452e-06	7.5423423150429e-06	1.00245873569266	1	3	0	1
YER170W	P26364	ADK2	25.19373	2	1000	2	9.91826961844003e-07	9.95752874940781e-07	9.91899764539323e-07	1.000129731119	1	5	0	1
YFL030W	P43567	AGX1	41.90679	2	1000	2	7.53108092312291e-07	7.61235150165942e-07	7.59968762821563e-07	1.00016498792806	1	4	0	1
YGL040C	P05373	HEM2	37.73995	2	1000	2	4.68898450311983e-05	4.6889845031292e-05	4.68898450311983e-05	1.00919965006766	1	4	0	1
YMR319C	P40988	FET4	62.7913	2	1000	2	0	1.2170166713903e-09	1.21701667138786e-09	1.00000139361318	0	3	3	1
YOL086C	P00330	ADH1	36.84874	2	1000	2	6.94778428243528e-08	7.81727212803293e-08	7.73454254608194e-08	1.00001568680378	0	21	1	1
YOR176W	P16622	HEM15	44.5956	2	1000	2	4.83546957385591e-05	4.83546957386558e-05	4.83546957385591e-05	1.011232797822	1	4	0	1
YOR278W	P06174	HEM4	30.91124	2	1000	2	1.62992710971258e-08	1.62992710971584e-08	1.62992710971258e-08	1.00000359510396	1	3	0	1
YOR323C	P54885	PRO2	49.73991	2	1000	2	1.41143313106902e-08	1.4167311021855e-08	1.41331587778013e-08	1.00000462085898	1	6	0	1
YPL172C	P21592	COX10	52.14718	2	1000	2	4.39585769312282e-06	4.39585769313161e-06	4.39585769312282e-06	1.0011831037531	1	5	0	1
YER141W	P40086	COX15	54.65792	2	1000	2	5.61953457315477e-07	5.66670054388727e-07	5.66670054387593e-07	1.00016055867532	1	7	0	1
YPL262W	P08417	FUM1	53.15125	2	342.192973616357	2	2.08479131376547e-07	2.12673286093256e-07	2.08550678080152e-07	1.0000587307776	1	6	0	1
YPR074C	P23254	TKL1	73.80488	2	49.8963069879756	2	1.24209496833383e-06	1.32555669346377e-06	1.32120078671018e-06	1.00050615593941	0	10	4	1
YJL121C	P46969	RPE1	25.96689	2	10.3657015458268	2	7.99560865141172e-07	8.0706968163881e-07	8.03196151137749e-07	1.00010845379274	1	2	0	1
YLR450W	P12684	HMG2	115.69085	2	9.27079032129127	2	0	9.67125181275817e-07	9.67112533757143e-07	1.00057761762854	0	7	5	1
YML126C	P54839	ERG13	55.01283	2	9.27079032129127	2	0.000107841299063405	0.000107842731505143	0.000107841299063405	1.0314942105181	1	12	0	1
YPL028W	P41338	ERG10	41.72825	2	9.27079032129127	2	4.97252709244115e-08	5.20531463680092e-08	4.97268033330287e-08	1.00001168790524	1	6	0	1
YJL167W	P08524	ERG20	40.48289	2	9.27079032129127	2	2.71243944308142e-05	2.71246009104963e-05	2.71243944308142e-05	1.00568814963365	1	5	0	1
YMR208W	P07277	ERG12	48.45901	2	9.27079032129127	2	2.04359374506265e-06	2.04360896676206e-06	2.04359374506265e-06	1.00051133148514	1	11	0	1
